connections	backend	run	iters	vanilla_p50_us	pgt_p50_us	vanilla_p95_us	pgt_p95_us	vanilla_mean_us	pgt_mean_us	vanilla_qps	pgt_qps
1	spi	1	2000	147.1	138.5	159.8	161.0	149.2	147.0	6695.7	6798.3
1	spi	2	2000	149.2	178.5	164.2	226.5	151.6	182.8	6590.5	5467.2
1	spi	3	2000	148.3	139.4	162.3	153.9	155.5	141.0	6424.8	7085.3
1	direct	1	2000	150.2	137.4	164.3	162.8	152.3	141.7	6563.2	7054.2
1	direct	2	2000	148.1	139.7	161.7	161.4	151.4	141.9	6600.2	7043.3
1	direct	3	2000	154.4	136.1	236.0	170.8	171.6	140.7	5820.3	7103.2
4	spi	1	4000	227.6	205.9	283.7	262.2	225.8	208.7	16968.4	19080.0
4	spi	2	4000	234.1	208.5	288.0	269.4	231.7	211.6	15527.9	18760.3
4	spi	3	4000	227.1	201.9	294.7	233.4	227.6	201.3	16798.0	19594.6
4	direct	1	4000	234.9	194.7	301.7	230.7	234.3	195.0	16198.6	20423.8
4	direct	2	4000	220.8	192.7	291.6	230.0	224.4	192.9	16824.6	20486.4
4	direct	3	4000	228.3	190.2	270.3	227.6	223.6	190.5	17581.4	20835.4
8	spi	1	8000	332.2	281.2	508.6	416.8	348.1	291.7	22493.2	27205.7
8	spi	2	8000	356.3	289.2	575.0	426.9	378.7	297.3	20442.7	26618.3
8	spi	3	8000	336.0	281.6	484.9	415.3	346.0	291.1	22884.0	27140.5
8	direct	1	8000	336.6	270.2	501.3	397.5	349.9	278.9	22685.9	28357.5
8	direct	2	8000	357.6	275.3	578.7	460.2	387.0	304.2	20321.7	25850.5
8	direct	3	8000	335.6	273.1	490.1	404.2	346.5	283.6	22801.5	28000.4
16	spi	1	16000	484.3	428.4	777.0	719.5	516.5	452.9	29978.3	34564.1
16	spi	2	16000	492.0	423.6	810.5	697.8	528.7	451.0	29124.4	34621.5
16	spi	3	16000	466.0	406.3	797.2	649.4	512.9	426.5	29532.4	36213.7
16	direct	1	16000	462.7	421.5	805.6	717.4	518.6	450.7	29262.8	34859.2
16	direct	2	16000	488.9	399.8	825.8	681.6	528.5	423.7	28863.2	36738.4
16	direct	3	16000	507.9	414.7	878.9	720.5	545.7	443.5	26846.1	35419.2
