mode	backend	clients	run	vanilla_tps	pgt_tps	vanilla_lat_ms	pgt_lat_ms	vanilla_conn_ms	pgt_conn_ms	vanilla_failed	pgt_failed
select	spi	8	1	35256.869477	35783.619854	0.227	0.224	8.272	7.747	0	0
select	spi	8	2	35862.682984	36110.850243	0.223	0.222	5.847	7.670	0	0
select	spi	8	3	35528.542035	36112.000852	0.225	0.222	6.367	8.483	0	0
select	direct	8	1	36033.018651	35938.768610	0.222	0.223	6.172	7.711	0	0
select	direct	8	2	35651.548677	35943.930196	0.224	0.223	6.299	7.599	0	0
select	direct	8	3	35803.490421	36000.198230	0.223	0.222	9.536	7.687	0	0
nupdate	spi	8	1	2878.371471	2946.998247	2.779	2.715	5.819	7.695	0	0
nupdate	spi	8	2	2984.875002	2861.964629	2.680	2.795	6.052	7.713	0	0
nupdate	spi	8	3	3016.300436	3073.014505	2.652	2.603	5.897	7.656	0	0
nupdate	direct	8	1	3025.641645	2908.473809	2.644	2.751	5.907	7.758	0	0
nupdate	direct	8	2	2913.437737	2986.505373	2.746	2.679	6.012	7.884	0	0
nupdate	direct	8	3	2954.982699	2956.157631	2.707	2.706	5.862	7.778	0	0
tpcb	spi	8	1	565.164823	627.071271	14.155	12.758	5.908	7.857	0	0
tpcb	spi	8	2	583.366325	626.722212	13.714	12.765	5.953	7.709	0	0
tpcb	spi	8	3	572.727268	634.900619	13.968	12.600	5.870	7.900	0	0
tpcb	direct	8	1	578.029867	623.718109	13.840	12.826	5.987	7.811	0	0
tpcb	direct	8	2	578.711802	617.483705	13.824	12.956	6.038	7.732	0	0
tpcb	direct	8	3	588.714262	623.337896	13.589	12.834	5.671	7.765	0	0
