workload	backend	threads	vanilla_tps	pgt_tps	ratio
oltp_point_select	spi	4	22592.69	27199.90	1.204
oltp_point_select	spi	16	35445.53	44633.92	1.259
oltp_point_select	spi	32	NA	NA	NA
oltp_point_select	direct	4	21971.49	27298.11	1.242
oltp_point_select	direct	16	36556.20	44882.06	1.228
oltp_point_select	direct	32	31596.13	43552.94	1.378
oltp_read_only	spi	4	755.78	1156.01	1.530
oltp_read_only	spi	16	NA	NA	NA
oltp_read_only	spi	32	NA	NA	NA
oltp_read_only	direct	4	765.26	1170.82	1.530
oltp_read_only	direct	16	1115.68	1763.16	1.580
oltp_read_only	direct	32	681.68	1803.93	2.646
oltp_update_index	spi	4	1223.53	1173.56	0.959
oltp_update_index	spi	16	NA	NA	NA
oltp_update_index	spi	32	NA	NA	NA
oltp_update_index	direct	4	1168.76	1151.00	0.985
oltp_update_index	direct	16	4058.87	382.42	0.094
oltp_update_index	direct	32	NA	NA	NA
