workload	backend	threads	vanilla_tps	pgt_tps	ratio
oltp_point_select	spi	4	22884.98	27467.14	1.200
oltp_point_select	spi	16	36367.87	45886.31	1.262
oltp_point_select	spi	32	NA	NA	NA
oltp_point_select	direct	4	22885.97	27594.00	1.206
oltp_point_select	direct	16	36345.42	45890.90	1.263
oltp_point_select	direct	32	34518.50	45104.75	1.307
oltp_read_only	spi	4	768.51	1204.97	1.568
oltp_read_only	spi	16	1209.27	1809.50	1.496
oltp_read_only	spi	32	NA	NA	NA
oltp_read_only	direct	4	765.32	1183.42	1.546
oltp_read_only	direct	16	1173.27	1825.63	1.556
oltp_read_only	direct	32	861.10	1832.57	2.128
oltp_update_index	spi	4	1225.16	1183.74	0.966
oltp_update_index	spi	16	4423.30	3276.82	0.741
oltp_update_index	spi	32	NA	NA	NA
oltp_update_index	direct	4	1229.39	1150.66	0.936
oltp_update_index	direct	16	4336.69	3316.48	0.765
oltp_update_index	direct	32	NA	NA	NA
